n=2000000 primes=148933
         3846 function calls (3766 primitive calls) in 0.479 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.007    0.007 argparse.py:1742(__init__)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        2    0.000    0.000    0.005    0.002 argparse.py:173(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        1    0.000    0.000    0.479    0.479 profile:0(<code object <module> at 0x7fbbaeb191a0, file "assignment3.py", line 1>)
       19    0.000    0.000    0.000    0.000 _parser.py:170(append)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       43    0.000    0.000    0.000    0.000 :0(setdefault)
       45    0.000    0.000    0.000    0.000 :0(fspath)
        1    0.000    0.000    0.000    0.000 argparse.py:1880(parse_known_args)
       33    0.000    0.000    0.000    0.000 :0(min)
        3    0.000    0.000    0.001    0.000 gettext.py:522(translation)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        7    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
        4    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:392(cached)
        3    0.000    0.000    0.000    0.000 locale.py:362(_replace_encoding)
        8    0.000    0.000    0.000    0.000 enum.py:691(__call__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
        2    0.000    0.000    0.000    0.000 shutil.py:1387(get_terminal_size)
        8    0.000    0.000    0.000    0.000 :0(getcwd)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
       10    0.000    0.000    0.000    0.000 :0(format)
        4    0.000    0.000    0.000    0.000 :0(_abc_init)
      5/4    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        8    0.000    0.000    0.000    0.000 _parser.py:367(_escape)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
       11    0.000    0.000    0.000    0.000 _parser.py:284(tell)
       20    0.000    0.000    0.000    0.000 :0(allocate_lock)
        2    0.000    0.000    0.000    0.000 argparse.py:1565(_get_optional_kwargs)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
       22    0.000    0.000    0.000    0.000 :0(find)
        7    0.000    0.000    0.000    0.000 <frozen os>:756(encode)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       18    0.000    0.000    0.000    0.000 _parser.py:247(match)
        7    0.000    0.000    0.001    0.000 __init__.py:225(compile)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:922(find_spec)
        4    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
        4    0.000    0.000    0.000    0.000 _parser.py:222(__init__)
